# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookups,1775857173710000000,1775857232760000000,0
Indexing.cache.totalCacheMisses,1775857173710000000,1775857232760000000,0
Indexes.entries.lookupDurationAvgMs,1775857173710000000,1775857232760000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1775857173710000000,1775857232760000000,0
Indexing.writesQueuedMin,1775857173710000000,1775857232760000000,9223372036854775807
Indexes.stubs.lookupDuration90PMs,1775857173710000000,1775857232760000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1775857173710000000,1775857232760000000,0
Indexes.allKeys.lookupDurationAvgMs,1775857173710000000,1775857232760000000,0.0
Indexing.cache.totalCacheEvicted,1775857173710000000,1775857232760000000,0
Indexing.cache.totalCacheAccesses,1775857173710000000,1775857232760000000,0
Indexing.writesQueuedMax,1775857173710000000,1775857232760000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775857173710000000,1775857232760000000,0
Indexes.allKeys.lookupDuration90PMs,1775857173710000000,1775857232760000000,0.0
Indexes.stubs.lookupDurationAvgMs,1775857173710000000,1775857232760000000,0.0
Indexes.allKeys.lookups,1775857173710000000,1775857232760000000,0
Indexing.totalTimeIndexersSleptMs,1775857173710000000,1775857232760000000,0
Indexes.entries.lookupDuration90PMs,1775857173710000000,1775857232760000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1775857173710000000,1775857232760000000,0
Indexes.entries.lookups,1775857173710000000,1775857232760000000,1
Indexes.allKeys.lookupDurationMaxMs,1775857173710000000,1775857232760000000,0.0
Indexes.stubs.lookupDurationMaxMs,1775857173710000000,1775857232760000000,0.0
Indexes.entries.lookupDurationMaxMs,1775857173710000000,1775857232760000000,0.0
cacheStateStorage.get.counter,1775857173710000000,1775857232760000000,5
cacheStateStorage.set.counter,1775857173710000000,1775857232760000000,2
cacheStateStorage.set.duration,1775857173710000000,1775857232760000000,18
cacheStateStorage.get.duration,1775857173710000000,1775857232760000000,0
VFS.invertedFileNameIndex.requests,1775857173710000000,1775857232760000000,0
VFS.fileChildByName,1775857173710000000,1775857232760000000,118
VFS.fileByIdCache.misses,1775857173710000000,1775857232760000000,0
VFS.fileByIdCache.hits,1775857173710000000,1775857232760000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775857173710000000,1775857232760000000,22205
NonBlockingReadAction.finalizedExecutionsCount,1775857173710000000,1775857232760000000,13
NonBlockingReadAction.failedExecutionsCount,1775857173710000000,1775857232760000000,0
AWTEventQueue.dispatchTimeTotalNS,1775857173710000000,1775857232760000000,3145047800
NonBlockingReadAction.failedExecutionTimeUs,1775857173710000000,1775857232760000000,0
workspaceModel.global.apply.state.to.project.ms,1775857173710000000,1775857232760000000,0
jps.library.entities.serializer.save.entities.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775857173710000000,1775857232760000000,0
jps.global.get.library.by.name.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775857173710000000,1775857232760000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775857173710000000,1775857232760000000,0
jps.global.handle.changed.events.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775857173710000000,1775857232760000000,0
jps.app.storage.content.writer.save.component.ms,1775857173710000000,1775857232760000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775857173710000000,1775857232760000000,0
jps.global.get.library.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775857173710000000,1775857232760000000,0
jps.global.handle.before.change.events.ms,1775857173710000000,1775857232760000000,0
jps.global.get.libraries.ms,1775857173710000000,1775857232760000000,0
workspaceModel.load.cache.from.file.ms,1775857173710000000,1775857232760000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775857173710000000,1775857232760000000,4
workspaceModel.global.updates.ms,1775857173710000000,1775857232760000000,0
jps.save.global.entities.ms,1775857173710000000,1775857232760000000,6
workspaceModel.do.save.caches.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775857173710000000,1775857232760000000,0
workspaceModel.sync.entities.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775857173710000000,1775857232760000000,0
jps.global.initialize.library.bridges.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775857173710000000,1775857232760000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775857173710000000,1775857232760000000,0
workspaceModel.save.cache.to.file.ms,1775857173710000000,1775857232760000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.instances.count,1775857173710000000,1775857232760000000,2
